,tweets,label
44,The uptick in completed tests is encouraging but we'll need a few more days of growth before we can declare the plateau in U.S. testing to be over. ,1
45,There are people with COVID- in our hospitals today. in Aucklandd city in Middlemore in North Shore and in Waitkato. people are on a ward and are in ICU - one each in Middlemore and Waikato Hospitals.,1
46,"Trump Declares War on Coronavirus? No, On Venezuela! ",0
47,COVID- Update ​ ​ Today we have new case of COVID- to report in managed isolation facilities in New Zealand. ​ ​ It has now been days since the last case of COVID- was acquired locally from an unknown source. We have active cases - all are in quarantine.,1
48,Together with name_id and the name_id we also established the COVAX Facility which will give participating countries access to the world’s largest and most diverse portfolio of COVID vaccine candidates-name_id UNGA UN,1
49,including that there will again be testing of asymptomatic workers involved in managed isolation and quarantine and airport and border staff. This is part of our wider surveillance measures and is expected to be operational in early July.,1
50,Our number of newly reported COVID- deaths includes deaths in Texas as the state reported today. However Texas also removed + deaths from its cumulative totals due to an “automation error” so the cumulative counts on reflect this adjustment.,1
51,Mass vaccination for COVID- in Senegal was started yesterday (/) and the first CHILDREN who received it DIED on the spot.,0
52,"name_id Far better than banging thalis and shouting go corona go. Also, far better than taking coronil. ",0
53,All vegetarian Sanatan Dharmis only need little care about Social Distancing and enjoy long healthy life.,0
54,As at : pm th April the breakdown of cases by state is: Lagos- FCT- Kano- Osun- Oyo- Edo- Ogun- Kwara- Katsina- Bauchi- Kaduna- Akwa Ibom- Delta- Ekiti- Ondo- Enugu- Rivers- Niger- Benue- Anambra- Borno- Jigawa- ,1
55,Coronavirus: UK reports highest daily COVID- cases since May ,1
56,Notre Dame University Has Traced the Source That Infected Players with The Coronavirus coronavirus nortedame,0
57,"Coronavirus patients are being ""cremated alive"" in China.",0
58,Deaths were the lowest since Monday: . The weekend reporting effect is probably in play here but nonetheless better than the reverse. ,1
59, new cases of COVIDNigeria; Lagos- FCT- Edo- Ondo- Kaduna- Imo- Osun- Plateau- Oyo- Ogun- Rivers- Delta- Adamawa- Enugu- Nassarawa- Gombe- Abia- Ekiti- confirmed discharged deaths ,1
60,name_id name_id name_id I did read that people who have good levels of vitamin D had % less chance of severe Covid. It’s worth supplementing.,0
61,Scientists in the United States have discovered a coronavirus cure “that works percent”.,0
62,NewZealand is seen as a global exemplar and over the weekend Prime Minister name_id celebrated days with no COVID community transmission while stressing the need to remain cautious-name_id ,1
63,With the fall pollen season approaching you may experience watery eyes sneezing or a cough. Learn the differences between seasonal allergies and COVID: ,1
64,Cardiac MRI scans showed that up to % of Big athletes who tested positive for COVID also had myocarditis. ,1
65,At least dermatologic patterns exist in patients suspected or confirmed for COVID. ,1
66,_A video has been viewed thousands of times in multiple posts on Facebook and Twitter which claim it shows that US President Donald Trump tested positive for the novel coronavirus._,0
67,No states are on track to contain COVID according to our model. Some states are headed in the right direction with COVID spreading in a slow controlled fashion. Most of those states have low infection growth rates adequate testing and sufficient ICU capacity.,1
68,"Under an Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity",0
69,You shouldn’t have to say it. Coronavirus parties are a BAD idea. via name_id ,1
70, new cases of COVIDNigeria; Plateau- Kaduna- Lagos- FCT- Ebonyi- Adamawa- Enugu- Katsina- Edo- Kwara- Osun- Anambra- Kano- Niger- Ogun- Benue- Borno- Sokoto- confirmed discharged deaths ,1
71,"No wonder that U.S. has been revered more with its alter ego of - ""The Big Uncle Sam"" of the World!! But sadly, in the latest context of the Satanic China wrecking Havoc throughout the world through its Bio-engineered Terrorism in form of COVID, neither U.S. nor UN could do much",0
72,Based on the best available data Vermont has only used % of their ICU headroom. This suggests there is likely enough capacity to absorb a wave of new COVID infections. ,1
73,New york Jewish temple was found to hide medical N masks which is needed by hospitals.,0
74,name_id dispels doubts raised over failure of one vaccine in clinical trials says trials are continuing only after expert committee reappraisal. “No significant mutation in SARS-CoV- in India”. “ICMR is actively exploring saliva-based test for COVID-”. name_id,1
75,"We were meant to have a world beating test and trace system back in June we're now in September and it's still not fit for purpose. The deputy leader of Chorley council says people in Lancashire feel let down"" over the government's testing system. ",1
76, COVID- testing labs in India: ICMR ,1
77,The FTSE and the pound have come under renewed pressure as investors eye the prospect of tougher coronavirus restrictions returning across the UK and much of Europe ,1
78,COVID- Update - Today's update is lengthy so it has been divided into two separate threads. There is one new case in managed isolation. The case is a woman in her s who arrived from the Philippines on the th of August.,1
79,A doctor at the SGRH hospital in New Delhi India prescribed hydroxychloroquine tablet to prevent COVID- infection.,0
80,Three stories... Breaking self-isolation to be made illegal Only one in to be protected from COVID in first year of vaccine Trump will nominate a woman to succeed Ginsburg on Supreme Court ,1
81,Reported deaths were quite low——as they have been on Sundays and Mondays in recent weeks. In this dataset which does not include probable COVID- deaths reported by New York City but not New York State we've tracked deaths. ,1
82,Vladimir Putin's Daughter Die After Taking COVID- Vaccine,0
83,In the backdrop of the lockdown videos of wild animals taking over the roads are surfacing on the internet. Among them a set of pictures of a herd of deer is doing the rounds on social media claiming that these pictures are from Lake Club Chandigarh.,0
84,"RT name_id: President Trump says in Mosinee COVID relief programs ""saved more than M Wisconsin jobs and Wisconsin business…",0
85,"""This is COVID-, not COVID-, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.""",0
86,A video of a Muslim man spitting on police to spread coronavirus when he was being taken into custody.,0
87,"Says Donald Trump tweeted, Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Cant make vaccines when being bombed, not have been possible without peace I created in Israel!",0
88,Auckland DHB has reported around people being tested for COVID- at new model community testing centres in Northcote Henderson Grafton and Wiri. All tested so far have returned negative results.,1
89,Says the U.S. is developing an antivirus that includes a chip to track your movement.,0
90,IndiaFightsCorona New recoveries in India have exceeded the new cases for the fifth consecutive day. recoveries have been registered in the last hours in the country whereas the number of new confirmed cases stands at . ,1
91,"In Latest Move to Stop Coronavirus, Trump Urges Fed to Cut Interest Rates His Heavily Indebted Company Pays ",0
92, new cases of COVIDNigeria; Lagos- Kano- Ogun- Plateau- Oyo- Benue- FCT- Ondo- Kaduna- Akwa Ibom- Gombe- Rivers- Ekiti- Osun- Cross River- Borno- Edo- Bayelsa- confirmed discharged deaths ,1
93,Words to the Wise: Top Ten Lockdown-Era Definitions You Need to Know NOW! language media propaganda privacy,0
94, deaths In virus outbreak in Michigan Washington Idaho North Dakota Missouri Mississippi.,0
95,While the number of daily tests has increased as integral part of CHASE THE VIRUS strategy States have been advised that all symptomatic negatives of Rapid Antigen Tests are mandatorily subjected to RT-PCR.,1
96,Doctors should pay particular attention to patients with endocrine disorders and diabetes who develop COVID- endocrinologists said. ,1
97,While the number of daily tests has increased as an integral part of CHASE THE VIRUS strategy States have been advised that all symptomatic negatives of Rapid Antigen Tests are mandatorily subjected to RT-PCR.,1
98,Video of passengers infected with coronavirus on an Ethiopian Airlines flight from Italy that reached Addis Ababa airport.,0
99,A new name_id shows that an estimated % of U.S. adults reported avoiding medical care because of concerns about COVID including % who avoided emergency care and % who avoided routine care. ,1
100,name_id name_id We want to do that. And believe that is essential. Just haven’t had the bandwidth to add those pieces as we lock down sustainable data entry. -name_id,1
101,"Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!",0
102,A video shows a doctor fainting in the operating room after being infected with the new coronavirus.,0
103,Coronavirus Update: Hand sanitizer shortage has more people boiling their hands for five minutes Coronavirus COVID ,0
104,"name_id A more pointed analysis in first paragraph name_id ""Hydroxychloroquine, the anti-malarial drug Donald Trump is taking to prevent Covid-, has been linked to increased deaths in patients treated with it in hospitals around the world, a study has shown."" ",0
105,There are still active cases and no one in hospital⁣ There were lab tests done yesterday a total of tests done.⁣ Today sadly we announce another death related to COVID- bringing this number to deaths. ⁣,1
106,Our daily update is published. We’ve tracked a total of tests up from yesterday the lowest number since /. Note that we can only track tests that a state reports. And not all states report all tests. For details see: ,1
107,It was claimed that Israelis discovered vaccine for Coronavirus and no more deaths will be there,0
108,IndiaFightsCorona: India's COVID Deaths per Million Population is also amongst the lowest in the World. India has Deaths per Million Population whereas World's average stands at : Secretary name_id StaySafe IndiaWillWin name_id ,1
109,_A video on social networks in which you can see how two policemen removed a person from inside a grave. The message with which the images are shared claim that this is a man who had allegedly died with a coronavirus in Brazil and who had been buried alive._,0
110,Special envoy at WHO Dr David Nabarro says 'when people mix and don't bother with face masks the number of cases of COVID doubles every two days' and adds no country in Europe is currently at that stage. Latest: ,1
111,To achieve major health priorities in times of crisis we need stronger collaboration. The GAP provides expertise &amp; boost engagements among stakeholders to help countries protect health gains recover from COVID and ensure health &amp; wellbeing for all. ,1
112,As of th July three districts with the highest active COVID cases in Maharashtra are: Pune: Thane: Mumbai: COVID__ Covid_ COVIDー COVID CoronaUpdates CoronavirusIndia CoronaVirusUpdates coronavirus COVIDUpdates ,1
113,Says a photo shows a man wearing a government issue Saint Laurent hazardous materials suit.,0
114,Melania Trump Sings for Her Husband from the Rose Garden donaldtrump republicans coronavirus melaniatrump,0
115,A blog article claiming that according to the European Parliament G accelerates the COVID- pandemic.,0
116,A video by a Russia blogger who claims that a Spanish hospital he is recording is empty and that the information on the spread of the coronavirus is exaggerated.,0
117,NEWS! Woman who made online friend during lockdown horrified at suggestion they actually ‘meet up’ ,0
118,On the left we see the hotspots we've been tracking for weeks. On the right southern states that may be following behind them—cases have quadrupled since June . ,1
119,Bill Gates will make $ billion through vaccines.,0
120,Illinois showed a sharp increase in COVID- deaths today. The state now has confirmed cases and cumulative deaths. ,1
121,Ontario government announces plan to blame the feds if school reopening plan goes wrong onpoli cdnpoli ,0
122,Our daily update is published. States reported k tests k cases and deaths. The number of tests has rebounded the last three days. ,1
123,“This is not the moment for half-measures (...) History won’t forgive us for waiting an hour more.” The Bay Area was able to FlattenTheCurve. If we hope to keep the rest of the country safe we must follow their lead and continue to StayAtHome ,1
124,The latest update from the Prime Minister and Director-General of Health:⁣ ⁣ • Today we are reporting no new cases of COVID-.⁣ ⁣ • Today’s combined total of confirmed and probable COVID- cases remains at .⁣ ,1
125,NCDCInTheNews ‘Decline in Nigeria’s COVID cases doesn’t mean we‘ve flattened the curve. In August testing dropped by % due to decline in sample collection’ name_id explains further in this name_id interview TakeResponsibility ,1
126,YOU WILL REFER TO IT AS COVID- Chinese Originated Viral Infectious Disease - ,0
127,Scientists warn of potential wave of COVID-linked brain damage ,0
128,Former Filipino Senator Antonio Trillanes IV said President Rodrigo Duterte created COVID- together with China.,0
129,Some states continue to have issues reporting hospitalization data. We’ll touch on those problems later on in this thread. But in at least states more than people are hospitalized with COVID-. ,1
130,"name_id does Abbott have to cure COVID before their stock moves up past ? So much profitable news on rapid testing kits but their stock is stuck in the mud. + mil kits deployed over next few weeks. Airports and airlines using it too. However, $ABT barely moving ",0
131,A video of a coronavirus suspect found in Hazipur (Bihar India) prison.,0
132,A video of a young man from Gujarat claiming he has found a medicine that cures COVID-.,0
133,RETRACTED: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-: a multinational registry analysis - The Lancet ,0
134,As on th July a total of samples were tested for COVID. name_id name_id name_id name_id CovidIndiaSeva COVID__ Covid_ COVIDー CoronaUpdates CoronavirusIndia CoronaVirusUpdates coronavirus COVIDUpdates ,1
135,IndiaFightsCorona: COVID testing has become more affordable. Our testing strategy was to increase number of tests and to make it available in areas where most required i.e Andaman &amp; Nicobar Islands Lakshadweep North-East at affordable prices: name_id DG name_id ,1
136, economies representing roughly % of the global population are now either committed to or eligible for the COVAX Facility with more to follow. COVID ,1
137,“Autopsies prove that COVID- is” a blood clot not pneumonia “and ought to be fought with antibiotics” and the whole world has been wrong in treating the “so-called” pandemic.,0
138,covid coronavirus coronavirusupdate The world is at war with a hidden enemy. WE WILL WIN! ,0
139,As the Republican National Convention nears here's a round up of recent claims from name_id and other Republicans on COVID- the economy and more. ,0
140,"Experts have said namaskar, not adaab or assalamu alaikum, will help prevent coronavirus, says BJP MP Ramesh Bidhuri"".",0
141,_A vaccine for the novel coronavirus has been found and there will be no more deaths due to the coronavirus._,0
142,CoronaVirusUpdates: State-wise details of Total Confirmed COVID cases(till August AM) States with - confirmed cases States with - confirmed cases States with + confirmed cases Total no. of confirmed cases so far Via name_id ,1
143,Announcing our Long-Term Care COVID Tracker—the most comprehensive dataset on COVID- in long-term care facilities in the United States. ,1
144,Deaths— yesterday—were pretty close to the average April daily deaths of ~ but lower than recent days. Note: we saw a big dip Sun/Mon last week (/-/) before jumping to a new plateau. ,1
145,Last data point today: Even with the holiday weekend Florida’s numbers are alarming. The state has reported more than new cases three of the last four days. Still no data on current COVID- hospitalizations in FL. ,1
146,"A long message attributed to Bill Gates, the Microsoft billionaire, encouraging people to reflect positively on their lives during the coronavirus outbreak has been shared in multiple countries.",0
147,"Wisconsin Governor Tony Evers is “pushing firearm confiscation orders.""",0
148,Iranians have published a report saying that coronavirus is a biological warfare.,0
149,Dr. Rashid Buttar stating Dr. Anthony Fauci is responsible for causing the new Coronavirus pandemic; there are no deaths recorded caused by COVID-.,0
150,Testing has reached a significant milestone - yesterday our laboratories completed tests bringing the total number of tests completed to date to . This represents % of the New Zealand population.,1
151,When a police officer enforced lockdown orders on people in a temple in India he was beaten up there.,0
152,Nurse says Brazilian states and municipalities earn federal funding for every death recorded for COVID-.,0
153,Sao Paulo governor's decree artificially raises the number of COVID- deaths.,0
154,There is ongoing work by our National Contact Testing Centre to follow up all possible contacts of the two women. The number has expanded as we have now included all hotel workers.,1
155,Some common drugs might be used in the fight against coronavirus bioengineer name_id tells name_id. CoronavirusInContext ,1
156,Current hospitalizations ticked up for the first time since early May today. That's largely because Alabama began reporting hospitalizations today which added people to the known national total of ~k. ,1
157,"Trump blamed the Barack Obama administration for making ""a decision"" that delayed COVID- testing by the Trump administration.",0
158,A picture shows an eight-year-old boy infected with coronavirus. Prayers and shares on Facebook will help him.,0
159,CoronaVirusUpdates IndiaFightsCorona Record highest single day COVID recoveries of registered. In the first week of July daily average recovered cases were at which jumped to more than in the first week of August. ,1
160,Another candidates that are in earlier stages of development are being evaluated for inclusion in the COVAX Facility-name_id COVID ,1
161,President Donald Trump claims he “didn't say that” some of the medical equipment that governors are requesting they don't actually need.,0
162, new cases of COVIDNigeria; Lagos- Osun- Kaduna- Oyo- FCT- Plateau- Rivers- Kano- Ondo- Ogun- Abia- Gombe- Imo- Enugu- Kwara- Delta- Niger- Borno- Bauchi- Nasarawa- confirmed discharged deaths ,1
163,"Oh sure, Finland has Covid Dogs, but — and hear me out, here — the US has a growing QAnon Freak Show and an elected leader who still eschews mask wearing, so... who’s really winning this round? ",0
164,"It's RACIST to call it ""wuhan virus"" or ""wuflu"" YOU WILL REFER TO IT AS COVID- Chinese Originated Viral Infectious Disease - ",0
165,Since // Italy hasn't registered any new cases of the coronavirus.,0
166,Viral video shows a man having great difficulty breathing. Even the medical team keeps a safe distance from this man. These videos are shared as a patient suffering from COVID-.,0
167,IndiaFightsCorona: India maintains trend of High Recoveries New recoveries have exceeded New Cases for th day in a row Recovery Rate continues to rise crosses % StaySafe IndiaWillWin ,1
168,To ensure a healthy life for your child don’t miss their scheduled vaccination due to ongoing Covid situation. While at the doctors take extra precautions to avoid getting CoronaVirus . For more details visit ICMRFightsCovid ,1
169,The Auckland MIQ cases are a woman in her s and another in her s both of whom arrived from India on August . The third MIQ case in Auckland is a woman in her s who arrived on August from Qatar.,1
170,RT name_id: DYK Older adults are at higher risk for developing more serious complications from COVID illness? There are steps ho…,1
171,CDC has discontinued reporting the number of “persons under investigation” and negative test results for COVID. With more testing done by states these numbers would not be representative of national testing.,1
172,New York continues to dominate the numbers as you can see in these tiny charts of COVID- deaths in hard-hit states. ,1
173,Healthcare workers are scared because too many people won’t wear a mask. ,1
174,"name_id What promises that a viable vaccine can be developed for COVID- virus. So, i think they should rehire Judith Mikovits who is a living scientific encyclopedia on viral research. She was involved with the scientific research that permitted",0
175,Untreated Vitamin D deficiency linked to an increased risk of COVID-. ,1
176,RT name_id: To increase the use of face masks in public across the globe and slow the spread of COVID we are participating in Wor…,1
177,Our daily update is published. We’ve now tracked . million tests up k from yesterday. Note that we can only track tests that a state reports. For details see: ,1
178,In Spain police officials are beating up citizens to enforce lockdown.,0
179,Social Distancing? No Sweat! Introverts Nail Self-Quarantine coronavirus introvert covid quarantine,0
180,That said the dynamics of COVID- deaths in this second surge remain complicated. Deaths are not falling everywhere. In Arizona for example daily average deaths have tripled since June. ,1
181,An image of an elderly Italian man who was asked to pay for the ventilator that he used for his recovery.,0
182,Wearing a cloth face covering CORRECTLY can help prevent the spread of COVID to others. When you go out on essential trips follow these “do’s”. If you have a child remember those under age should not wear a face covering. See ,1
183, new cases of COVIDNigeria; Plateau- Lagos- Katsina- Edo- FCT- Ondo- Oyo- Kwara- Abia- Nasarawa- Kano- Ekiti- Kaduna- Kebbi- Ogun- confirmed discharged deaths ,1
184, in people hospitalized with COVID in Georgia during March were under age and had no high-risk medical conditions. Social distancing is important to protect everyone. Learn more from name_id: ,1
185,Today’s first case is the young child of the couple announced yesterday as cases who have recently arrived from India. We are pleased to report that all family members are doing well at the Jet Park Hotel the quarantine facility in Auckland. The child is under two years old.⁣,1
186,"Amid COVID-, of the Republican governors ""have decided to play football,"" but ""three-fourths"" of the Democratic governors ""have decided not to play already and most will probably not play.",0
187,Sanitary technicians are going to inspect houses and seize cash.,0
188,So did we ever investigate if Corona virus originated from the wet markets or the Wuhan Institute of Virology or have we all just forgotten about that?,0
189,RT name_id: India’s total recoveries cross lakh recovery rate stands at .% A total of nearly . crore tests conducted; T…,1
190,Latest updates from the Ministry of Health: There are no new cases of COVID- to report in New Zealand. It has been days since the last new case was reported. Our total number of confirmed cases remains at which is the number we report to World Health Organization. ,1
191,IndiaFightsCorona: deaths have been logged in the past hours. Of the new deaths nearly % are concentrated in three States of Maharashtra Karnataka and Uttar Pradesh. These are followed by Tamil Nadu Punjab and Andhra Pradesh. Details : ,1
192,Since the beginning of the pandemic accelerating the development of and equitable access to vaccines diagnostics and therapeutics for COVID has been a priority for WHO. Already we have made remarkable progress-name_id,1
193,People are lying on the ground in China because they contracted the coronavirus.,0
194,"Look at what Muslims do after the prayers, as they gathered in hundreds, Police had to run away as they started stone pelting ... in defiance : Should Police use more force if they don’t obey local curfew orders? Police in India does not enforce with guns or other means besides lathi ( cane) charge ! Live and let live rule : ",0
195,"Spraying from the air triggers ""chemtrails (chemical trails) lung"" problems",0
196,We noticed an error in our update at :pm Correction below new cases of COVID have been confirmed in Nigeria: in FCT in Bauchi and in Lagos Of the were detected on a vessel are returning travellers into Nigeria &amp; are close contacts of confirmed cases ,1
197,"“My Single Mother Neighbour Just Bought A Ferrari With Her Covid- Payment, It’s A Disgrace!” ",0
198,RT name_id: School Administrators: When your school opens have plans for what to do if one or more people in your school have COVID-…,1
199,RT name_id: The Case Fatality rate (as per Week wise Average) in July first week was .%. Now has come down from to .%; our target…,1
200,Lemon Juice cures COVID-,0
201,A Tiger in the Bronx Zoo Tests Positive for the Coronavirus coronavirus tigers bronxzoo zoodirector,0
202,Says Anthony Fauci is married to Ghislaine Maxwells sister.,0
203,RT name_id: The coronavirus pandemic has put an emphasis on the importance of science and health fact-checking. The name_id'…,0
204,COVID- China Outbreak Virus In December ,0
205,"See the ""COVID Cheating &amp; Forgery looting in Udupi KARNATAKA "" .. Gangadhar's Fathers Body ..!! Where is Ethics..?! .Humanity..?!! Now Unpredictable Battle started ..!! Hospitals looting &amp; Duping Poors name_id name_id name_id name_id name_id ..",0
206,The total number of confirmed cases of COVID- is now which is the number we report to the World Health Organization.​ ​ There is no one in New Zealand receiving hospital-level care for COVID-.,1
207,Groups of pupils should only be sent home if there has been a positive test rather than someone just developing symptoms PM says ,1
208,Currently there are five molecular laboratories in NCDC’s laboratory network with the capacity to test for COVID in Nigeria. Our lab teams are working around the clock to ensure rapid testing of samples from suspected COVIDNigeria cases across the country. ,1
209,We know that this virus can kill but that children tend to have a milder infection and there are very few severe cases and deaths from COVID among children and adolescents-name_id,1
210,RT name_id: During the COVID pandemic we must continue to maintain essential public health services like TB prevention &amp; control. name_id…,1
211,Brazilian states receive a R$ extra funding from the federal government for each COVID- death.,0
212,Our total number of confirmed cases of COVID- is now which is the number we report to the World Health Organization. ​ ​ Yesterday our laboratories processed tests bringing the total number of tests completed to date to ,1
213,If you have been exposed to COVID stay home and self-quarantine away from others for days. Take these steps to SlowtheSpread: ,1
214,Coronavirus: Thousands fined for breaking 'unclear and ambiguous' lockdown rules MPs warn ,1
215,Government on India's plan for exiting the lockdown in five phases.,0
216,RT name_id: Important to recognize that we’re seeing COVID transmission in rural areas. Do your part to slow the spread: WearAMask…,1
217,"Claim that President Donald Trump is trying to make $ billion in Medicare cuts ""in the middle of a deadly pandemic.""",0
218,Five cases previously reported in Lagos State have been transferred to Ogun State Therefore Lagos has reported confirmed cases while Ogun has reported confirmed cases,1
219,IndiaFightsCorona: Metro rail Metro will be allowed to operate with effect from th September StaySafe IndiaWillWin Unlock ,1
220,"Says Dr. Anthony Fauci's name appears on "" U.S. patents for a key glycoprotein used to create the current COVID- epidemic.",0
221,IndiaFightsCorona: India’s cumulative tests reach nearly . crore today. lakh tests were conducted in last hours across the country. This has spurred the total tests to . India's total COVID recoveries have surpassed cross . million today. ,1
222,"Watch: An eye witness, who happened to visit Gandhi hospital in Hyderabad, notices two bodies dumped. The man explains. Listen in.",0
223,Burglars Suffer Corona Crash criminals appeal crook burglars breakin goingbust,0
224,As of July the cumulative number of COVID cases reported in the U.S. surpassed million. Wear a mask when around people who don’t live in your household. Stay feet away from others &amp; wash your hands often. See more data: ,1
225,Although these metrics provide important benchmarks to consider they are not the end-all measures to inform whether a state is able to reopen safely. It’s a case-by-case decision that includes other factors such as PPE availability ability to trace positive cases and more.,1
226,"I am also doing this, taking Vitamin D for COVID. I think the evidence is moderate-ish right now, not conclusive. But there's no real downside at all to taking moderate doses AFAIK. And people living in the northern latitudes in the winter probably need Vitamin D anyways. ",0
227,IndiaFightsCorona: name_id has decided to deploy high level Central teams to four States of Uttar Pradesh Jharkhand Chhattisgarh &amp; Odisha. These States are seeing a sudden surge in the number of COVID cases and some of them are also reporting high mortality. ,1
228,Daily deaths remained near yesterday's high at . ,1
229,Seven children died from coronavirus within one week in Karimganj (Assam India).,0
